,afemur,atibia,bfemur,btibia
0,7987,0,2795,0
1,9948,797,7488,0
2,11456,3947,9526,2948
3,12647,4903,10719,4845
4,13966,6488,11757,6080
5,15155,7958,13092,7959
6,15195,9959,13828,9335
7,14362,11486,13905,10210
8,14300,12373,13472,11606
9,15144,13488,12004,12204
10,15352,13949,11893,13146
11,15775,13550,13392,13028
12,16399,13848,14505,12742
13,17723,13736,15547,12657
14,19338,13446,16426,12779
15,22181,12969,18462,12400
16,24205,12599,20379,11834
17,25128,12234,23251,11074
18,24018,11359,25706,10450
19,19274,10342,26771,9111
20,16016,8760,26489,8097
21,12979,7602,23862,7330
22,9042,6708,14353,6483
23,871,0,9562,1243
24,482,0,11314,4354
25,6292,453,12600,6744
26,10685,2464,14645,8426
27,12321,5525,16124,10185
28,14195,7852,16995,12701
29,16056,9614,18627,14035
30,17479,11738,18885,15218
31,19555,14221,17968,16137
32,20737,15576,18074,17559
33,21545,16317,19142,18637
34,20591,16934,20035,19554
35,21348,18352,20920,18759
36,22454,19633,20976,19853
37,22955,20250,21577,20158
38,23369,20800,21712,20095
39,23303,21636,24566,19997
40,23058,20601,26733,19389
41,24594,22465,27792,19422
42,27376,21721,29360,19222
43,28182,21677,30415,17972
44,29188,20851,31175,16604
45,29918,20253,31173,13117
46,0,0,1192,0
47,6238,758,12792,2004
48,13139,3104,14237,5992
49,14606,7209,16129,8545
50,16764,7948,18089,10435
51,18088,9359,19165,10875
52,19350,10202,20350,11251
53,20228,10685,20496,12032
54,19303,11786,18820,12785
55,18994,12306,19517,13436
56,19848,12346,20418,13081
57,19847,12291,20377,12991
58,20421,12124,20871,12494
59,20887,11971,21142,10905
60,21739,11486,22005,11887
61,23115,11394,24386,11542
62,25853,11093,26552,11224
63,28189,10678,29176,10796
64,29479,10455,30313,10395
65,30656,10162,31291,10085
66,30663,9926,30883,9548
67,27610,9433,29098,9262
68,20905,8941,22396,8225
69,14189,3663,12823,4548
70,16139,5468,15461,6382
71,18139,7378,17457,7988
72,20131,9942,21844,11848
73,21936,12507,22051,13413
74,22928,13211,23257,14718
75,24987,14217,25139,16182
76,24375,15288,24845,16966
77,21928,16171,21417,18604
78,20602,17483,19280,18938
79,20055,18692,18804,19659
80,19463,18559,18621,19647
81,19939,17959,18595,20041
82,21007,18569,19546,20273
83,23618,19317,21236,20951
84,26165,19089,24650,20398
85,27445,18829,26299,19636
86,28404,18462,27691,18599
87,28580,17925,28550,17855
88,25196,16718,27286,15538
89,22461,15287,24123,13516
90,18634,13105,20399,12461
91,14924,11466,16822,10282
92,15375,3584,11173,3920
93,16902,4974,12918,5237
94,18214,6495,14905,6986
95,19455,7818,16711,8667
96,20454,9642,18153,9453
97,20852,10880,19294,10451
98,22618,11798,20076,11750
99,24928,13144,20210,11939
100,22457,13072,22110,13000
101,19957,14761,18199,14115
102,19460,15413,18894,14710
103,19871,14946,18927,14127
104,19680,14933,19301,14156
105,21692,14865,19243,14482
106,24547,15157,20973,14723
107,26328,15142,23045,14244
108,27680,14801,25988,14221
109,29166,14777,27595,14158
110,29206,14473,28692,12938
111,28464,13934,29037,11668
112,28165,12852,27645,10932
113,21164,11968,24296,9962
114,21166,10304,22266,9190
115,10751,486,9049,0
116,13328,2742,11955,0
117,15553,4993,14634,1966
118,16453,6915,16177,4664
119,18131,9033,18152,6116
120,19975,9869,19269,7516
121,20756,11304,20654,9163
122,21240,12301,21471,10379
123,19853,13316,20270,11811
124,20110,13756,19909,12917
125,20033,14521,19680,14485
126,19861,15452,19114,15511
127,20021,14407,19447,14366
128,21458,13579,20630,14045
129,24001,13490,23279,13700
130,26839,12072,26665,13184
131,29684,12114,27954,13050
132,31057,11509,29395,12746
133,31337,11211,28543,12068
134,30367,10688,22432,11485
135,27385,10222,19554,10884
136,19828,9431,17211,10039
137,16743,8317,14385,9008
138,7719,226,542,28
139,11259,4712,7890,582
140,13730,6159,11897,3947
141,15487,8457,13535,5364
142,17262,12061,15472,6621
143,18421,14498,17506,8362
144,19423,17036,19833,10967
145,18232,18022,18995,13546
146,17028,19245,17778,14873
147,16279,19509,17401,16937
148,15478,19883,16571,18182
149,14962,20447,15842,18220
150,15089,20749,15335,18521
151,15672,19934,15332,18496
152,17593,19110,16427,18928
153,20732,17395,19043,18426
154,22004,15509,21398,17847
155,22683,10859,22758,15879
156,24777,10133,24328,14568
157,25085,8611,24914,11684
158,24247,7125,24683,9201
159,19476,5935,22299,7816
160,9835,4749,15447,6940
161,13340,2941,11572,615
162,14872,5452,13665,2359
163,17554,7553,15320,5832
164,19430,9976,17284,8284
165,21894,12177,19158,10271
166,25696,13006,21083,12341
167,26952,13699,23296,13442
168,25772,14624,22951,14063
169,23653,15173,21928,15003
170,22782,15964,21582,15781
171,22125,16212,20974,16051
172,21020,15670,20780,15838
173,21406,15217,20753,15547
174,22183,15272,21548,15986
175,24221,15653,22902,16359
176,26708,15062,25858,15819
177,28824,14633,28176,15124
178,29656,13752,29422,15198
179,29404,12952,30141,14748
180,25876,12725,29595,14073
181,22351,11719,25868,12925
182,19024,10788,20198,11435
183,15029,9585,16206,9996
184,164,0,6302,0
185,10031,158,10263,3201
186,11974,1916,12612,5440
187,14770,3238,14993,6858
188,16962,5436,16803,11548
189,19922,7106,18200,13737
190,22604,10118,19438,13788
191,24299,11589,20946,14203
192,23661,12532,20622,15308
193,21326,13328,19373,15918
194,20809,13876,18867,16280
195,20580,14367,18807,16017
196,21064,14068,19260,15971
197,21992,14155,20208,16039
198,23669,13974,22833,15765
199,26114,13531,24935,14994
200,27433,13221,26708,14194
201,28124,12950,27839,13333
202,26959,12421,28308,11266
203,20980,12247,26990,9897
204,17454,10959,19911,7860
205,10477,9126,13591,6749
206,7908,7701,8092,5914
207,256,89,0,0
208,1430,0,106,0
209,5974,689,4729,0
210,9022,1493,8078,1499
211,11253,3625,10449,3792
212,13502,5272,12450,5528
213,15803,7393,14326,7161
214,18054,9062,16256,9015
215,20675,10402,18685,9966
216,20950,11273,18233,11142
217,19858,11645,18018,11618
218,19017,12326,18011,12111
219,19075,12286,18172,12665
220,19755,12137,19913,12743
221,22209,11875,22053,12467
222,23529,10750,23321,11829
223,23770,10637,23419,11383
224,22265,9101,20294,9829
225,18539,7351,15099,7719
226,13569,6146,11601,6426
227,10525,5393,7409,5811
228,3575,4704,1176,4491
229,0,3271,0,2488
230,14086,3885,13254,5476
231,15631,5717,14782,6205
232,17091,7650,16310,8130
233,18656,9701,17841,10278
234,20054,11985,19010,11737
235,21407,13630,20135,13136
236,24265,14694,21146,14134
237,21826,15890,19763,15368
238,21407,16492,20890,16876
239,21116,17575,21257,17229
240,20730,17980,21029,17214
241,20634,17869,20574,16580
242,20954,16883,20921,15917
243,21468,16656,21258,16053
244,22761,16776,22399,16088
245,24570,16400,24376,15663
246,26918,16591,26751,15186
247,28427,16279,28885,14713
248,29119,15380,29986,14161
249,28820,14723,29987,13532
250,24987,13809,27516,12766
251,21813,12376,23355,11623
252,18192,11074,20107,10282
253,0,0,1155,0
254,3673,0,5470,0
255,5468,0,6634,1059
256,6741,2063,7867,3423
257,7806,3495,9286,4652
258,8567,5014,10283,5602
259,9594,5628,11140,6895
260,9865,7433,11758,8384
261,10084,8174,11701,8949
262,10638,8264,12221,11621
263,11057,9469,15053,10721
264,12513,9798,15739,11536
265,14088,10826,17700,10929
266,17258,10739,18105,11935
267,18732,11713,19207,12765
268,22968,11544,21769,12551
269,23601,11645,23530,12681
270,25106,12030,24480,12647
271,25161,11803,24612,12058
272,24037,11188,23153,11419
273,21746,9510,18962,10192
274,13928,7528,13828,8095
275,9991,5824,9209,5861
276,9548,0,6112,0
277,12374,4034,7870,1834
278,15213,5249,9828,4076
279,16242,6906,11058,5525
280,17784,9649,12815,6589
281,20466,11130,14200,8332
282,21632,12092,15533,10857
283,21258,14428,16263,12107
284,20362,14300,17062,12928
285,19039,15323,17615,13488
286,18682,15722,18191,14955
287,18742,15936,18459,15212
288,19096,16020,18230,15319
289,19926,15866,18308,15595
290,21773,15771,19091,16223
291,23832,15051,21984,15909
292,24868,14025,23513,15244
293,25610,12565,24761,14282
294,27670,11887,25947,13307
295,25210,10499,26341,12069
296,15050,9196,25794,10640
297,10810,7892,23311,8757
298,6900,6543,21755,7470
299,263,0,6815,0
300,7579,0,9696,1256
301,11219,1384,11934,3631
302,13497,4014,13925,5443
303,15954,4925,15391,6743
304,18128,6395,16900,8411
305,21166,8529,18200,9574
306,22931,10125,18342,10357
307,20940,11355,18459,10754
308,20212,12192,19252,11877
309,19715,13300,19235,12559
310,19475,14147,19190,12521
311,19569,14138,20144,12545
312,20171,14162,21014,12640
313,21924,14435,23621,12888
314,24478,13854,25837,12075
315,25927,13356,27426,11664
316,26374,12901,28965,10947
317,25038,12132,28865,9704
318,19911,11344,27300,8855
319,16586,9955,17825,7837
320,13965,8337,12173,6886
321,9981,7464,8834,6105
322,9686,629,9719,0
323,12460,1029,11687,1930
324,14151,3337,13297,3806
325,15816,4210,15069,5095
326,17519,7347,16697,6794
327,20077,7394,18255,8082
328,21784,10068,20137,9569
329,23210,11028,19990,11112
330,21450,11950,19558,12321
331,19663,13078,19707,13021
332,19481,13563,19418,14136
333,19575,14462,18925,13783
334,19314,14037,18951,13703
335,20258,13885,19384,13932
336,21183,13875,21216,13645
337,22798,14405,23395,13905
338,23410,13198,25274,13537
339,25337,12833,26085,13202
340,24679,12396,26187,12661
341,22510,11801,23875,12081
342,19300,11405,19722,10965
343,15282,10248,16943,10324
344,12346,8756,14331,8899
345,8120,393,7285,0
346,10426,2297,9466,1532
347,11998,3931,11431,2772
348,13583,4797,13443,4960
349,14907,6479,14546,6254
350,15890,7798,15406,7271
351,16763,9087,15982,8536
352,15424,11124,15601,11289
353,16252,12195,15492,12785
354,15971,14591,16331,13739
355,16606,15602,16630,15275
356,16671,16607,16746,16001
357,16405,17316,17072,16562
358,16922,17521,17496,16519
359,20568,17183,21169,16425
360,22369,16637,22697,16175
361,24260,16416,24219,15912
362,25600,16093,25293,16319
363,26160,15539,25539,15391
364,25723,14316,24641,14238
365,23873,11393,21858,12200
366,16445,8201,15450,8297
367,11715,6719,11843,6396
368,10242,50,10532,3487
369,12207,1815,12741,5825
370,14219,3887,14183,7605
371,15229,5827,15358,8947
372,16331,7662,16142,11931
373,17006,8380,17176,14157
374,17760,11490,17632,16217
375,17094,13175,16663,17653
376,16781,14633,16822,17989
377,17564,15472,17320,18904
378,19617,17176,18608,20005
379,20407,17781,19098,20479
380,20819,18554,19065,20682
381,22039,18749,19289,21243
382,24785,19539,22381,22234
383,27144,19429,24226,22380
384,28672,19591,25088,22026
385,29948,20218,26237,21237
386,30588,19830,28179,20138
387,31509,19604,29797,18470
388,31598,18957,30553,16039
389,31205,18030,30842,12931
390,30402,17446,30256,11953
391,17938,7512,16876,5701
392,19940,9282,19398,6807
393,21753,11211,21632,9663
394,24481,12120,23987,10628
395,26323,13061,26865,10938
396,28899,13752,30239,11644
397,31284,13431,31694,12273
398,30602,14677,31084,13529
399,26370,15817,28215,14490
400,26104,16783,27009,15775
401,25240,16902,26339,16110
402,25607,16047,25898,15316
403,26032,15954,26439,14732
404,27474,15577,27845,14562
405,30182,15355,30449,14569
406,32628,15181,33206,14524
407,35234,15065,36005,14067
408,36885,14453,37290,13896
409,37860,13997,37892,13701
410,37692,13636,37688,13225
411,36072,13426,36486,13002
412,30917,13119,28681,12749
413,23599,12889,23515,12633
414,8404,0,128,0
415,11489,1336,8409,0
416,13526,3143,10465,172
417,15299,4324,13099,4420
418,16668,5809,15128,5229
419,18014,7202,16541,8131
420,18505,8669,17657,8658
421,19370,10231,18767,10017
422,19005,11345,19348,11050
423,18630,12579,18285,12182
424,18337,13593,19066,13565
425,18262,13389,18405,13596
426,19041,12421,19416,13515
427,20052,13387,20113,13233
428,23640,13902,21206,13076
429,25234,13343,24660,12221
430,26260,13077,26983,11638
431,27268,12292,28385,11133
432,25735,11842,29183,10368
433,19025,11177,28690,9561
434,15776,9641,24141,9193
435,12014,8423,18108,8085
436,5715,7035,13720,6969
437,0,0,3969,36
438,10018,214,9383,1736
439,12653,2418,12634,3594
440,15148,3871,15347,5123
441,17038,5939,18286,6627
442,19769,6484,20550,7500
443,23024,7258,23090,8203
444,26301,7931,25526,9005
445,26178,8826,24318,9615
446,22933,9345,22623,10277
447,22630,10836,22380,11045
448,22127,10944,21187,11351
449,22066,10961,21255,10910
450,22488,11049,21996,11093
451,24756,11300,24990,10890
452,25582,10753,27559,9937
453,27320,10666,28432,9923
454,28630,10201,27537,10029
455,26887,10183,24119,9865
456,24660,9803,21040,9542
457,19736,9630,18175,8985
458,16963,9350,14433,8215
459,12645,8127,7010,6651
460,7689,0,0,0
461,10558,695,0,0
462,13070,2938,10499,2183
463,14726,4926,12902,4985
464,16492,6003,14491,6153
465,18026,7289,16018,7552
466,20787,8180,17933,9247
467,20702,9383,19046,12412
468,19861,10774,19018,11353
469,18230,12564,19226,12599
470,18417,12946,18689,13317
471,19489,12574,18541,13668
472,20050,12700,17861,13409
473,21393,12436,19658,13334
474,23391,13143,21190,13340
475,25921,13660,23310,13655
476,27102,13566,25382,13651
477,27177,13155,26934,13095
478,24930,12847,27899,12555
479,18950,12263,26267,11826
480,13596,10479,19611,11454
481,10107,8854,14921,8788
482,7082,7663,10986,8076
483,10322,0,10462,0
484,12741,4633,12748,1714
485,14669,5326,14446,3886
486,16241,6750,16072,5952
487,18404,8757,17747,7500
488,19758,9652,19687,9568
489,20694,11043,20510,11244
490,22205,12415,21043,12594
491,19937,13495,20201,13641
492,19860,15521,19853,14929
493,19287,16189,19240,16497
494,19574,15793,18881,16849
495,19804,15276,19123,16734
496,20146,15385,19712,16771
497,21517,15153,21698,16501
498,24787,14798,24130,16765
499,26350,14317,26083,16256
500,27264,14178,27088,15947
501,27053,14205,26480,15541
502,25186,13689,23820,14643
503,19488,12262,19580,12837
504,16299,10959,17890,11182
505,14392,9792,12709,9394
506,4056,0,565,0
507,6710,12,7039,117
508,10374,2156,10131,2838
509,12152,4056,11910,3648
510,14201,5556,13868,5212
511,16261,6661,16045,7036
512,18639,7854,18002,9039
513,21831,10153,20632,9710
514,20423,11476,20288,10679
515,19855,12752,21037,11561
516,19596,13488,20770,12119
517,18654,13765,21054,11991
518,19360,13717,21534,12259
519,20063,13896,22494,12468
520,22148,13830,24633,12146
521,23859,13965,26009,11696
522,25504,13766,27820,11784
523,25984,14236,28053,11551
524,23959,13972,25811,11510
525,20266,13490,22079,11191
526,16081,12328,16120,10473
527,12402,10007,12473,9431
528,8037,7706,7663,7666
529,1765,17,5165,0
530,7344,0,8816,14
531,9159,1076,11430,2430
532,11645,3409,13666,3996
533,13421,5452,14956,5763
534,14415,6990,15885,7280
535,15857,8414,16539,8932
536,16298,10346,17678,10546
537,16446,11839,15785,11872
538,16813,13174,17917,12984
539,17316,13328,17657,13467
540,17496,15467,17689,14246
541,17207,15363,17232,14779
542,17796,15449,18267,15767
543,19236,16673,21057,15587
544,22498,17245,24243,15084
545,24270,16700,26002,14311
546,25896,15695,27729,13993
547,27022,14993,28424,13222
548,27556,13310,28812,11708
549,27172,11771,27186,9881
550,25092,9425,24293,8195
551,20953,8203,15591,7138
552,0,0,0,0
553,4748,0,3189,0
554,6797,266,7031,367
555,9456,1657,10102,1105
556,11010,2592,11531,2459
557,12553,4535,12690,3853
558,14228,5369,13913,5309
559,16856,6833,16759,6823
560,19771,8392,17593,8213
561,19049,10278,17288,10316
562,18101,11205,16914,11732
563,17684,12091,17050,12051
564,17808,12544,17239,13350
565,18070,12426,18007,13092
566,18839,13265,19929,13961
567,20190,12906,21560,13635
568,20927,12699,21705,12918
569,17721,12131,21157,12385
570,16189,11681,16895,11813
571,14443,10680,13389,11162
572,12767,8252,9976,8201
573,8504,6995,6542,7125
574,5215,5753,2878,6118
575,10319,801,13670,2536
576,12669,2013,15246,5569
577,14147,4104,16469,7344
578,15126,6649,17392,9937
579,15936,8919,17876,11584
580,16640,10948,18118,14254
581,17078,12674,17750,14727
582,16704,14215,18229,15993
583,16689,15739,19197,16932
584,17394,16298,19849,17829
585,18687,17460,20371,19112
586,19714,18576,20422,19403
587,20507,18872,20789,19951
588,20925,17187,20608,20547
589,21533,19649,23729,20678
590,24723,20051,25464,20888
591,26812,19917,27566,20794
592,28030,19300,29018,20224
593,29555,18925,30468,19808
594,31123,18621,31591,18463
595,32244,17663,31682,17385
596,32185,16303,30040,15805
597,31024,14779,25809,13435
598,14243,2755,13556,3233
599,15934,4859,15430,4744
600,17559,6907,17200,6327
601,19192,8967,18788,8183
602,21072,12325,20353,11347
603,23462,14673,21420,12856
604,23501,15812,22843,14349
605,21771,17071,22017,15256
606,21647,17827,22409,15291
607,21345,19141,22350,16415
608,21114,19310,21527,17223
609,20925,18971,21703,16699
610,21254,18657,22211,16472
611,22550,18303,23463,16869
612,24920,18886,26189,16997
613,27550,18115,28318,16815
614,29040,17575,30082,15939
615,29862,17184,31078,15097
616,29935,16240,30892,15003
617,29014,15230,30280,14424
618,25465,13308,25316,13140
619,20664,11357,20325,11608
620,16216,9845,15026,10363
621,7717,0,3480,0
622,11114,62,7657,1271
623,13331,3168,10514,4553
624,14776,5935,12392,6124
625,16667,8172,13989,7919
626,19281,10997,15187,10787
627,22402,12559,16746,12997
628,22046,13795,17892,14679
629,19555,15841,18601,15902
630,18253,15751,17124,17145
631,17510,16629,16590,16931
632,17574,15651,16117,16572
633,18143,16245,16065,17436
634,19627,15638,16375,17863
635,21871,15641,18256,16004
636,24078,14780,20307,15794
637,25655,14088,22689,15351
638,26767,12421,24417,12615
639,26191,10942,25889,11528
640,22652,9661,26077,9647
641,16667,8385,24816,8081
642,12271,7642,15204,7032
643,8543,6222,9293,6481
644,0,0,1714,0
645,8083,0,7482,0
646,10345,1966,9590,1924
647,12350,4234,11716,3913
648,14193,6329,13383,5490
649,15982,7624,15611,7154
650,18760,11517,17067,9354
651,20507,12091,18054,11079
652,20474,12806,20051,11983
653,18633,14380,18804,12991
654,17985,15152,18704,14209
655,17993,15582,18423,14257
656,18246,14798,18565,14086
657,18964,14698,19090,13382
658,20298,14621,20590,13531
659,22134,13966,22312,13454
660,23751,13720,24693,13238
661,25138,13320,26222,12984
662,24544,12711,26597,12342
663,22506,12045,25798,11629
664,17527,9980,22538,10253
665,14422,8631,16657,8654
666,10541,7290,13254,7179
667,6032,0,0,0
668,7780,569,0,0
669,9760,1757,7586,977
670,11769,4080,9914,3809
671,13092,5786,11104,4723
672,14197,7583,12104,7097
673,14965,9212,13005,8799
674,15677,11106,13449,11315
675,15071,12665,14352,13503
676,15765,13573,13159,15318
677,16203,14736,13641,16358
678,16449,15815,14259,17498
679,16304,15812,14602,17962
680,16287,16562,14446,18393
681,19645,16900,15137,18418
682,21775,16807,18654,18460
683,23407,16720,20405,18241
684,24892,16413,22158,17258
685,26262,15259,23675,15886
686,26634,13145,24826,13013
687,25034,10062,25235,10071
688,16672,8542,23994,8555
689,11002,7457,19977,7552
690,1422,0,0,0
691,5494,1650,0,0
692,7139,3309,5686,0
693,8635,4783,6871,2258
694,9809,6069,8787,4222
695,10742,7160,9713,5208
696,11142,9293,10626,7221
697,11095,11705,11149,8974
698,10983,13382,11350,10938
699,11619,14404,11345,12336
700,13228,14903,12351,13395
701,13680,15344,13893,14006
702,14414,14852,14952,14328
703,14921,15796,16077,13660
704,16241,15720,17008,14868
705,18497,15556,18006,15187
706,19611,15397,20040,15170
707,21017,11483,21256,14382
708,21820,9117,22387,13219
709,22055,12707,22453,10615
710,20887,6996,21337,9289
711,13999,6401,19363,7357
712,9651,3261,12317,5383
713,0,0,0,0
714,2596,0,0,0
715,7293,78,8176,823
716,9389,1937,10559,1815
717,10991,3090,11653,3824
718,12404,5504,12957,5207
719,13708,6505,14324,6473
720,14746,8283,15408,7921
721,16219,9132,16286,9176
722,16158,10011,15647,10232
723,16731,10788,15871,11285
724,17550,11823,16204,11230
725,17610,11419,16920,11870
726,18755,11691,17843,11982
727,19898,11929,19783,12372
728,21907,11602,22041,12389
729,24170,11130,23645,11848
730,24512,10715,24365,11475
731,24076,9618,23878,10783
732,19013,9024,21566,9478
733,14279,7609,18538,8032
734,11101,6328,10842,6748
735,6862,5278,6746,4806
736,8473,77,6781,0
737,10418,2000,9051,997
738,12124,4054,10723,2533
739,14389,6394,12129,5061
740,20335,8449,13555,6970
741,21709,12508,14930,8403
742,22223,14456,15913,11251
743,19164,15569,17823,13768
744,18591,17182,19239,15761
745,18299,18175,18667,17074
746,18156,19559,18894,18705
747,17903,20511,18791,19624
748,17701,21317,18441,20787
749,17653,21248,18007,20720
750,17934,21276,18385,20949
751,18758,21449,18595,21135
752,21574,21888,19384,21558
753,23178,21530,21749,21850
754,23753,20968,23100,21105
755,24620,20540,24287,20542
756,25262,17961,25088,19003
757,25391,15346,25516,17252
758,23957,11630,24804,13886
759,6278,0,419,0
760,8308,1084,5866,0
761,10249,2480,7772,0
762,11962,4634,9718,2138
763,14204,6514,11838,4174
764,15586,8547,13279,5913
765,16549,10017,14394,7791
766,17202,11366,15422,8547
767,16090,12415,16303,11754
768,16714,13281,15642,13276
769,18509,14237,15716,14109
770,19299,14873,17111,15155
771,20041,15224,17583,15930
772,20510,15275,17805,16213
773,23353,15294,18303,16840
774,26673,15651,21368,17297
775,27593,14651,23359,17350
776,28278,15323,25068,16792
777,29586,14754,24530,16996
778,30420,13828,25966,16285
779,30200,13060,27186,15165
780,28035,11220,26934,13069
781,25207,6774,25963,10341
782,248,0,3237,0
783,2893,0,7221,27
784,7977,1724,9422,3105
785,9780,3463,10864,3945
786,11532,4506,12822,4874
787,12956,6241,13815,7879
788,14283,7754,15131,8544
789,15488,9899,16500,10081
790,16400,11109,16503,12166
791,16331,11806,17702,12982
792,15343,12388,17929,13112
793,17514,12216,17658,13155
794,18115,13180,18072,13063
795,18410,12642,19098,12907
796,19632,12440,21698,12634
797,22982,12067,24356,11804
798,24742,11398,25899,10979
799,26233,10215,26805,10373
800,26585,9793,25680,8850
801,24953,8794,20588,7727
802,18176,7606,16571,6718
803,14803,6487,12226,5864
804,9963,5325,6559,4474
805,3625,61,7634,157
806,7761,1652,9603,2095
807,9764,4284,11701,4627
808,11935,6096,12983,6004
809,13777,7086,14071,7578
810,14979,8683,15115,8910
811,16151,10296,16069,10976
812,17054,13040,16552,13612
813,17671,14267,15715,15152
814,16503,15351,17019,15373
815,17829,15770,17508,16662
816,18253,17399,18041,18835
817,19296,18823,18266,19387
818,20563,19205,18278,19028
819,20005,19347,18350,19264
820,19471,19825,21774,19923
821,21865,20144,22656,19697
822,23382,20066,23762,19571
823,24564,19851,24854,19093
824,25608,19049,25735,17867
825,26497,18052,25614,15773
826,26566,15795,23389,13379
827,25491,14936,20692,10815
828,12875,4671,13020,5048
829,14857,6444,14931,7349
830,16125,8243,16524,8595
831,17780,10277,18053,10965
832,19127,12128,18666,12039
833,19602,13743,19746,13193
834,20323,15831,20956,14258
835,19820,17301,20226,14922
836,18769,18033,20148,16068
837,18583,18826,20005,16395
838,18459,19034,20033,16432
839,18361,19000,19937,16004
840,18455,19584,20301,14910
841,19152,17751,21164,15676
842,21407,17660,23651,15221
843,23623,17444,26248,14645
844,25772,16746,28377,14232
845,27738,16167,30038,13988
846,29070,14693,30071,13228
847,29315,13617,28451,12273
848,28734,10847,24716,10447
849,22801,8912,19776,9385
850,18476,7612,16701,8018
851,9454,356,0,0
852,11377,1749,7143,0
853,13677,3633,11420,106
854,15506,5177,13522,2644
855,16989,6876,15921,3839
856,18123,8938,17648,5892
857,19343,10595,19476,7487
858,19153,11501,20513,9569
859,17866,13526,19169,12292
860,17719,14641,17427,14385
861,16979,15834,16449,15951
862,17006,17007,15887,17232
863,17353,16331,15855,17589
864,17922,17183,16138,18433
865,19428,17424,17135,19532
866,22166,17702,18621,19737
867,24347,17002,21294,19952
868,25796,16260,22914,19514
869,27181,15470,23856,18079
870,27457,13702,24752,16071
871,26933,12421,23564,13320
872,24916,10004,18871,11088
873,17728,8680,15666,9631
874,0,0,0,0
875,5595,401,5561,614
876,11411,2791,9514,2272
877,13557,3961,11965,4933
878,15544,6426,13649,6254
879,17076,6881,15454,9080
880,18942,8447,17538,9529
881,19800,10321,18802,10503
882,20165,11604,20668,11388
883,20278,13000,19909,12487
884,19641,13503,20164,13440
885,19081,14106,19907,14286
886,19434,13345,19931,14326
887,20675,13494,20647,13872
888,23167,13732,21693,13681
889,25711,13066,24613,13306
890,27913,12479,27212,12599
891,28917,12035,28708,12236
892,29420,11488,29575,11317
893,26708,10308,27329,9899
894,18085,9512,20152,8685
895,13739,8165,16615,7719
896,8939,7156,11879,6846
897,6100,0,6884,747
898,8104,0,8507,547
899,10203,1084,10121,3519
900,12539,3548,11570,5297
901,13492,5027,12736,7246
902,14584,6128,13877,8718
903,15152,7502,14727,10846
904,15984,9446,15130,12581
905,16003,11197,14839,13393
906,17265,12985,15639,14442
907,17455,13511,16769,16166
908,17645,15439,17374,16286
909,17835,16224,17376,17135
910,17973,16629,17652,16978
911,19377,16728,18878,17036
912,21322,16709,20561,16399
913,23401,16676,23143,16433
914,25447,16018,24497,15718
915,26626,15713,26143,14491
916,27586,15119,27175,13292
917,28483,13551,27405,11393
918,27340,12697,26657,8748
919,25192,9053,23580,6778
920,5104,0,8748,104
921,10276,2172,12021,2037
922,12182,3302,13682,5168
923,14346,5665,15161,5865
924,15802,7868,17086,6810
925,17031,8618,17996,8231
926,18520,11279,19308,9973
927,20023,12202,21222,11173
928,20555,12880,20410,12032
929,19215,13865,20690,12699
930,18722,14341,20513,13107
931,17949,15060,18800,13265
932,17837,15443,21610,13122
933,18171,15527,20470,13374
934,19132,15643,21409,13405
935,21071,15438,23657,13014
936,23553,15186,25516,12614
937,25397,14891,26759,12159
938,26061,14596,26429,11703
939,24959,13927,23139,11094
940,22169,12533,20077,11083
941,17942,10305,14649,9305
942,14404,8658,11945,8149
943,15110,4973,14398,2729
944,16577,6402,15877,5124
945,18148,8238,17169,7144
946,19689,9552,18518,9808
947,20934,10721,19190,12229
948,22473,12371,20040,13648
949,23071,13190,21212,14829
950,22993,14525,22119,16607
951,22300,15483,21073,18129
952,21470,16330,19587,17936
953,21018,16649,19212,19344
954,20586,16301,18868,19739
955,20696,16213,18940,18673
956,21688,16515,19597,18469
957,24731,16836,20776,18119
958,27535,15603,23740,17380
959,29695,15024,26377,16473
960,31082,14414,28049,15736
961,31629,13660,29695,14170
962,30738,12775,30733,12524
963,28618,11585,30651,11189
964,21970,10296,29641,10567
965,18298,9670,23808,9893
966,4672,0,0,0
967,8199,51,3301,0
968,10569,934,9380,5
969,12539,2366,11882,465
970,14386,5256,14371,3142
971,16271,6411,16243,4476
972,18180,7742,20320,6512
973,19445,9514,23524,7709
974,20217,10708,24068,8925
975,18468,11593,22514,9943
976,17400,12757,19898,10986
977,17027,13615,19601,12353
978,17325,14170,19273,13552
979,17689,14155,19456,13590
980,18732,14382,20445,13540
981,21661,14367,21810,13720
982,23546,14551,24275,13973
983,25141,14782,25619,13865
984,25729,14487,24044,13843
985,24652,13574,20949,13420
986,19002,12232,18856,13535
987,16095,10535,16798,12309
988,12945,9526,14327,11690
989,1868,573,6042,0
990,8298,3447,7356,3021
991,9360,6641,9236,5717
992,11443,8189,11251,7527
993,12928,10237,12755,10238
994,13890,12423,14274,11196
995,15361,13757,15292,12286
996,16335,14759,15652,13210
997,16721,15013,16492,13573
998,16766,15979,17197,13948
999,18122,16982,19228,15365
1000,19825,17018,20076,14870
1001,21291,18180,21020,16912
1002,21753,18612,22209,16886
1003,22471,18473,23309,16621
1004,23345,18107,24243,16471
1005,25212,18200,27914,16357
1006,27341,17948,29198,15820
1007,28792,17803,29924,15943
1008,29701,17123,30868,15354
